,joshgroban
1862,890746444356780033
1863,1485134694673174532
1864,1454273981448654856
1865,1484970499713212419
1866,704173146
1867,1484989722913124355
1868,1212466552810819584
1869,1955529398
1870,1310030466658033664
1871,1387471269680107526
1872,1475379761526435840
1873,1430226624587440131
1874,1192522509058551808
1875,1338922963215716353
1876,566900864
1877,386705687
1878,1380866083637313539
1879,1484602821697748996
1880,2338914859
1881,407110049
1882,1456071277236588548
1883,1402053226610966533
1884,1482805271978201090
1885,1483120393695031296
1886,177133689
1887,113587308
1888,1446543836008824840
1889,1318073988770373632
1890,1335280783477633024
1891,1217900059670519809
1892,1110549530
1893,1484215460824588291
1894,925199300635840514
1895,1484207691551559683
1896,20314923
1897,1138836746316107777
1898,1466481023332622336
1899,398698217
1900,1476679344114262023
1901,908193966469767168
1902,1208175773091270656
1903,1153334083432243200
1904,1246101849129787400
1905,2269459868
1906,869679111987273728
1907,1483809936094244872
1908,54990487
1909,326963059
1910,60857040
1911,2496893527
1912,1482093230489583619
1913,1481686547145670659
1914,1359757791821373442
1915,304654807
1916,1483639212151033859
1917,1611822907
1918,1483632177325740038
1919,46588097
1920,4831907272
1921,351541320
1922,76993618
1923,1427675072987287552
1924,752174732376547328
1925,1453343972286472194
1926,1483418392103387140
1927,242784875
1928,793634434855546880
1929,1483233511641337860
1930,166305956
1931,1424549983701905409
1932,1480357713804771328
1933,1199569666659831808
1934,1097243567570018304
1935,1467825517432823815
1936,1480611751574085633
1937,26297299
1938,1246603542594564096
1939,926133531251826688
1940,1034071163838910464
1941,917084071255265282
1942,1482069363863736324
1943,977401524153303040
1944,1482654493351157760
1945,1479849666128670720
1946,783504562732822531
1947,1194412929258524672
1948,1396698370983534593
1949,1455715499980042240
1950,1482840352855887886
1951,1472123565570985984
1952,2477792497
1953,2355179624
1954,1460777456672071685
1955,1457056537894129674
1956,1476366098694131714
1957,942826806192861185
1958,1482574343452471299
1959,1464671586565472266
1960,1482553183381643274
1961,1346350882061832192
1962,126516205
1963,1482545202057334787
1964,1434662119811829764
1965,1422780102086209543
1966,1474366126461173787
1967,1481719662438146051
1968,1157218789685112838
1969,1037832415333543936
1970,81623663
1971,1471511467123896336
1972,1482207439978000384
1973,57497901
1974,426066348
1975,1482133792135553027
1976,1456016508690190337
1977,1204033024922394625
1978,252145891
1979,1219108173048471552
1980,134586824
1981,1482007403466006529
1982,1482000872267821056
1983,1447736608158109699
1984,1472772875925204992
1985,860667468662149120
1986,1625965874
1987,1036307373722234885
1988,1460342270042025996
1989,1325641597472665608
1990,2296236589
1991,3068490499
1992,841034786344955904
1993,1481676238217519104
1994,1481514230595600386
1995,1375855456678248453
1996,2357116314
1997,2940403048
1998,82559273
1999,963836994492272642
2000,1106601235
2001,564239118
2002,1345999768951074816
2003,1479479359668846601
2004,1479473706376310786
2005,195194787
2006,1481481610017095682
2007,1481063105455140868
2008,1427781657600397320
2009,1479983615975038981
2010,1481090834615263235
2011,1667682098
2012,1481434921491128322
2013,1472566914052333583
2014,1480985021414526982
2015,1481323407190880256
2016,1479130592847572993
2017,1439225663483879431
2018,1481224719630229508
2019,2497130140
2020,1472777938588209154
2021,2789812131
2022,851183473146687488
2023,1481135579572154374
2024,1480720982235045888
2025,1479209280976953358
2026,1480386780989988874
2027,34180265
2028,1481074831374565380
2029,2555446879
2030,1287928010499334149
2031,934545956581801985
2032,1481019866299699203
2033,1479961758911639558
2034,1314621646863511552
2035,1480384777018478596
2036,1479914610404864004
2037,1480942891589685253
2038,1222679731453059074
2039,4437219372
2040,1476792297698308125
2041,24080430
2042,1476366692641034252
2043,2519912645
2044,256088126
2045,3283522502
2046,1299467823320793088
2047,2303531417
2048,1480658436429914116
2049,1477816217540960256
2050,3135717215
2051,959247255860629505
2052,1163715155227815936
2053,1344860490619621378
2054,191164837
2055,1479193240255483912
2056,1480343567306575880
2057,351902037
2058,1477001009784401925
2059,594180637
2060,244141742
2061,21105243
2062,1328446390222155784
2063,1266434048
2064,1427947631020498949
2065,1427866869965414402
2066,1478541473134133251
2067,1479420237061754885
2068,1466210632433295364
2069,1098750664270856192
2070,348892771
2071,55559703
2072,410197487
2073,1088495931547213824
2074,1082688319304159234
2075,1480083890371018754
2076,1460701716114931715
2077,1139217738004480001
2078,2372346361
2079,711948016299548677
2080,1087782790140231682
2081,1479900298059694090
2082,1456498538360320001
2083,701326408732307456
2084,4292537592
2085,86985481
2086,1479964757725749249
2087,2574527153
2088,540392463
2089,1382495898396192769
2090,396412203
2091,1478194101514387460
2092,36668476
2093,1328061373251719173
2094,299912838
2095,1455211293254762504
2096,61207472
2097,1346606415578886144
2098,1393624299458768899
2099,995782839189696513
2100,1104553429135962117
2101,1478127380912918533
2102,1479578708788666372
2103,42658667
2104,1474843156772438017
2105,1477315813971476489
